qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position
205,11,2014,10,alonso,ferrari,1:18.389,1:17.866,1:17.649,7
206,11,2014,10,kvyat,toro_rosso,1:18.530,1:18.103,1:17.965,8
207,11,2014,10,hulkenberg,force_india,1:18.927,1:18.017,1:18.014,9
208,11,2014,10,perez,force_india,1:18.916,1:18.161,1:18.035,10
209,11,2014,10,button,mclaren,1:18.425,1:18.193,,11
210,11,2014,10,raikkonen,ferrari,1:18.534,1:18.273,,12
211,11,2014,10,vergne,toro_rosso,1:18.496,1:18.285,,13
212,11,2014,10,gutierrez,sauber,1:18.739,1:18.787,,14
213,11,2014,10,grosjean,lotus_f1,1:18.894,1:18.983,,15
214,11,2014,10,hamilton,mercedes,1:18.683,,,16
215,11,2014,10,sutil,sauber,1:19.142,,,17
216,11,2014,10,jules_bianchi,marussia,1:19.676,,,18
217,11,2014,10,maldonado,lotus_f1,1:20.195,,,19
218,11,2014,10,kobayashi,caterham,1:20.408,,,20
219,11,2014,10,chilton,marussia,1:20.489,,,21
220,11,2014,10,ericsson,caterham,,,,22
221,13,2014,11,rosberg,mercedes,1:25.227,1:23.310,1:22.715,1
222,13,2014,11,vettel,red_bull,1:25.662,1:23.606,1:23.201,2
223,13,2014,11,bottas,williams,1:25.690,1:23.776,1:23.354,3
224,13,2014,11,ricciardo,red_bull,1:25.495,1:23.676,1:23.391,4
225,13,2014,11,alonso,ferrari,1:26.087,1:24.249,1:23.909,5
226,13,2014,11,massa,williams,1:26.592,1:24.030,1:24.223,6
227,13,2014,11,button,mclaren,1:26.612,1:24.502,1:24.294,7
228,13,2014,11,vergne,toro_rosso,1:24.941,1:24.637,1:24.720,8
229,13,2014,11,hulkenberg,force_india,1:26.149,1:24.647,1:24.775,9
230,13,2014,11,kevin_magnussen,mclaren,1:26.578,1:24.585,,10
231,13,2014,11,kvyat,toro_rosso,1:25.361,1:24.706,,11
232,13,2014,11,sutil,sauber,1:26.027,1:25.136,,12
233,13,2014,11,perez,force_india,1:25.910,1:25.211,,13
234,13,2014,11,gutierrez,sauber,1:25.709,1:25.260,,14
235,13,2014,11,grosjean,lotus_f1,1:26.136,1:25.337,,15
236,13,2014,11,jules_bianchi,marussia,1:26.728,1:27.419,,16
237,13,2014,11,raikkonen,ferrari,1:26.792,,,17
238,13,2014,11,kobayashi,caterham,1:27.139,,,18
239,13,2014,11,chilton,marussia,1:27.819,,,19
240,13,2014,11,ericsson,caterham,1:28.643,,,20
241,13,2014,11,hamilton,mercedes,,,,21
242,13,2014,11,maldonado,lotus_f1,,,,22
243,14,2014,12,rosberg,mercedes,2:07.130,2:06.723,2:05.591,1
244,14,2014,12,hamilton,mercedes,2:07.280,2:06.609,2:05.819,2
245,14,2014,12,vettel,red_bull,2:10.105,2:08.868,2:07.717,3
246,14,2014,12,alonso,ferrari,2:10.197,2:08.450,2:07.786,4
247,14,2014,12,ricciardo,red_bull,2:10.089,2:08.989,2:07.911,5
248,14,2014,12,bottas,williams,2:09.250,2:08.451,2:08.049,6
249,14,2014,12,kevin_magnussen,mclaren,2:11.081,2:08.901,2:08.679,7
250,14,2014,12,raikkonen,ferrari,2:09.885,2:08.646,2:08.780,8
251,14,2014,12,massa,williams,2:08.403,2:08.833,2:09.178,9
252,14,2014,12,button,mclaren,2:10.529,2:09.272,2:09.776,10
253,14,2014,12,kvyat,toro_rosso,2:10.445,2:09.377,,11
254,14,2014,12,vergne,toro_rosso,2:09.811,2:09.805,,12
255,14,2014,12,perez,force_india,2:10.666,2:10.084,,13
256,14,2014,12,sutil,sauber,2:11.051,2:10.238,,14
257,14,2014,12,grosjean,lotus_f1,2:10.898,2:11.087,,15
258,14,2014,12,jules_bianchi,marussia,2:11.051,2:12.470,,16
259,14,2014,12,maldonado,lotus_f1,2:11.261,,,17
260,14,2014,12,hulkenberg,force_india,2:11.267,,,18
261,14,2014,12,chilton,marussia,2:12.566,,,19
262,14,2014,12,gutierrez,sauber,2:13.414,,,20
263,14,2014,12,lotterer,caterham,2:13.469,,,21
264,14,2014,12,ericsson,caterham,2:14.438,,,22
265,15,2014,13,hamilton,mercedes,1:25.363,1:24.560,1:24.109,1
266,15,2014,13,rosberg,mercedes,1:25.493,1:24.600,1:24.383,2
267,15,2014,13,bottas,williams,1:26.012,1:24.858,1:24.697,3
268,15,2014,13,massa,williams,1:25.528,1:25.046,1:24.865,4
269,15,2014,13,kevin_magnussen,mclaren,1:26.337,1:25.973,1:25.314,5
270,15,2014,13,button,mclaren,1:26.328,1:25.630,1:25.379,6
271,15,2014,13,alonso,ferrari,1:26.514,1:25.525,1:25.430,7
272,15,2014,13,vettel,red_bull,1:26.631,1:25.769,1:25.436,8
273,15,2014,13,ricciardo,red_bull,1:26.721,1:25.946,1:25.709,9
274,15,2014,13,perez,force_india,1:26.569,1:25.863,1:25.944,10
275,15,2014,13,kvyat,toro_rosso,1:26.261,1:26.070,,11
276,15,2014,13,raikkonen,ferrari,1:26.689,1:26.110,,12
277,15,2014,13,vergne,toro_rosso,1:26.140,1:26.157,,13
278,15,2014,13,hulkenberg,force_india,1:26.371,1:26.279,,14
279,15,2014,13,sutil,sauber,1:27.034,1:26.588,,15
280,15,2014,13,gutierrez,sauber,1:26.999,1:26.692,,16
281,15,2014,13,maldonado,lotus_f1,1:27.520,,,17
282,15,2014,13,grosjean,lotus_f1,1:27.632,,,18
283,15,2014,13,kobayashi,caterham,1:27.671,,,19
284,15,2014,13,jules_bianchi,marussia,1:27.738,,,20
285,15,2014,13,chilton,marussia,1:28.247,,,21
286,15,2014,13,ericsson,caterham,1:28.562,,,22
287,16,2014,14,hamilton,mercedes,1:46.921,1:46.287,1:45.681,1
